,0,1
101,أحدا قال الكميت,أحداً قال الكميت
102,آل حم آية,آل حمِ آية
103,تأولها منا تقي,تأولها منا تقيٌّ
104,معرب هكذا أنشده,معربُ هكذا أنشده
105,سيبويه كمكلم وأورد,سيبويه كَمُكَلِّمٍ وأورد
106,بالحق لا يتوقاهم,بالحقِّ لا يتوقاهم
107,وقال الجوهري معرب,وقال الجوهري معربٌ
108,مفصح بالتفصيل وتقي,مفصحٌ بالتفصيل وتقيٌّ
109,ساكت عنه للتقية,ساكتٌ عنهُ للتقيّة
110,أسألكم عليه أجرا,أسألكم عليه أجراً
111,الكلام تعريبا وأعربت,الكلام تعريباً وأعربت
112,له إعرابا إذا,له إعراباً إذا
113,كفصح وزنا ومعنى,كفصح وزناً ومعنى
114,المصباح يعرب عربا,المصباح يعرب عرباً
115,وعروبا عن ثعلب,وعروباً عن ثعلب
116,عريب معرب وعربه,عريب معرب وعرّبه
117,قال له البتي,قال له البتّيُّ
118,أيضا وأعرب الأغتم,أيضاً وأعرب الأغتم
119,عربيا وتعرب واستعرب,عربياً وتعرب واستعرب
120,عربيا أي لا,عربياً أي لا
121,رسول الله صلى,رسول اللّه صلى
122,الله عليه وسلم,اللّه عليه وسلم
123,الله عليه وسلم,اللّه عليه وسلم
124,رضي الله عنه,رضي اللّه عنه
125,أعرب وإبل أعرب,أعرب وإبل أَعربٌ
126,إلا طلق الإهماد,إلا طلقُ الإهماد
127,خيلا عرابا أي,خيلاً عراباً أي
128,الرجل ملك خيلا,الرجل ملك خيلاً
129,عرابا أو إبلا,عراباً أو إبلاً
130,عرابا أو اكتسبها,عراباً أو اكتسبها
131,مثل جوف الطوي,مثل جوف الطويّ
132,صهيلا تبين للمعرب,صهيلاً تبين للمعرب
133,أن يتخذ فرسا,أن يتخذ فرساً
134,عربيا ورجل معرب,عربياً ورجل معربٌ
135,معه فرس عربي,معه فرسٌ عربيٌّ
136,وفرس معرب خلصت,وفرسٌ معربٌ خلصتْ
137,عربيته وعرب الفرس,عربيتهُ وعرّب الفرسَ
138,بزغه وذلك أن,بزَّغَهُ وذلك أنْ
139,تنسف أسفل حافره,تنسفَ أسفلَ حافرهُ
140,ومعناه أنه قد,ومعناهُ أنهُ قدْ
141,بان بذلك ما,بانَ بذلك ما
142,كان خفيا من,كان خفيّاً من
143,أمره لظهوره إلى,أمرهِ لظهورهِ إلى
144,مرآة العين بعد,مرآةِ العينِ بعد
145,ما كان مستورا,ما كان مستوراً
146,وبذلك تعرف حاله,وبذلك تُعرفُ حالهُ
147,أصلب هو أم,أصلبٌ هو أم
148,رخو وصحيح هو,رِخْوٌ وصحيح هو
149,الأزهري والتعريب تعريب,الأزهريُّ والتعريبُ تعريبُ
150,الفرس وهو أن,الفرسِ وهو أن
151,حافره في مواضع,حافره في مواضعَ
152,ثم يبزغ بمبزغ,ثمَّ يُبزَغُ بمَبْزِغٍ
153,بزغا رفيقا لا,بَزْغَاً رفيقاً لا
154,ليشتد أشعره وعرب,ليشتدّ أشعره وعرب
155,أن رجلا من,أن رجلاً من
156,النبي صلى الله,النبي صلى اللّه
157,المسلمين والله لتكفن,المسلمين واللّه لتكفنَّ
158,لأرحلنك بسيفي هذا,لأرحلنَّك بسيفي هذا
159,استعراضا فحمل عليه,استعراضاً فحمل عليه
160,الله عنه ما,اللّه عنه ما
161,الناس أن لا,الناس أنْ لا
162,ومثل ابن عثم,ومثل ابن عثمٍ
163,إن ذحول تذكرت,إنْ ذحولٌ تذكرت
164,العرب القاموس المحيط,العُرْبُ القاموس المحيط
165,العرب بالضم وبالتحريك,العُرْبُ بالضم وبالتحريكِ
166,خلاف العجم مؤنث,خِلاف العَجَمِ مُؤَنَّثٌ
167,وهم سكان الأمصار,وهُمْ سُكَّانُ الأمصار
168,أو عام والأعراب,أو عامٌّ والأَعْرابُ
169,منهم سكان البادية,منهم سُكَّانُ الباديةِ
170,لا واحد له,لا واحدَ له
171,ويجمع أعاريب وعرب,ويُجْمَعُ أعاريبَ وعَرَبٌ
172,عاربة وعرباء وعربة,عارِبَةٌ وعَرْباءُ وعَرِبَةٌ
173,صرحاء ومتعربة دخلاء,صُرَحاءُ ومُتَعَرِّبَةٌ دُخَلاءُ
174,وعربي بين العروبة,وعَرَبيُّ بَيِّنُ العُروبَةِ
175,والعروبية والعربي شعير,والعُروبِيَّةِ والعَرَبِيُّ شَعيرٌ
176,أبيض وسنبله حرفان,أبيض وسُنْبُلُهُ حَرْفانِ
177,والإعراب الإبانة والإفصاحعن,والإِعْرابُ الإِبانَةُ والإِفْصاحُعن
178,الشيء إجراء الفرس,الشيءِ إجْراءُ الفَرَسِ
179,معرفتك بالفرس العربي,مَعْرِفَتُك بالفَرَسِ العَرَبِيِّ
180,من الهجين إذا,من الهَجينِ إذا
181,صهل وأن يصهل,صَهَلَ وأن يَصْهَلَ
182,الفرس فيعرف عتقه,الفَرَسُ فَيُعْرَفَ عُتْقُهُ
183,عتقه وسلامته من,عِتْقُهُ وسَلامَتُهُ من
184,الهجنة وهذه خيل,الهُجْنةِ وهذه خَيْلٌ
185,عراب وأعرب ومعربة,عِرابٌ وأَعْرُبٌ ومُعْرِبَةٌ
186,وإبل عراب أن,وإبِلٌ عِرابٌ أن
187,لا تلحن في,لا تَلْحَن في
188,الكلام وأن يولد,الكَلامِ وأنْ يُولَدَ
189,لك ولد عربي,لَكَ ولَدٌ عَرَبِيُّ
190,اللون والفحش وقبيح,اللَّوْنِ والفُحْشُ وقَبيحُ
191,الكلام كالتعريب والعرابة,الكَلامِ كالتَّعْريبِ والعِرَابَةِ
192,والاستعراب والرد عن,والاسْتِعْرابِ والرَّدُّ عن
193,القبيح ضد والنكاح,القبيح ضِدُّ والنِّكاحُ
194,أو التعريض به,أو التَّعْريضُ به
195,وإعطاء العربون كالتعريب,وإعْطاءُ العَرَبونِ كالتَّعْريبِ
196,والتزوج بالعروب للمرأة,والتَّزَوُّجُ بالعَروبِ للمَرْأةِ
197,المتحببة إلى زوجها,المُتَحَبِّبةِ إلى زَوْجِها
198,أو العاصية له,أو العاصِيَةِ لَهُ
199,أو العاشقة له,أو العاشِقَةِ لَهُ
200,أو إليه المظهرة,أو إليه المُظْهرةِ
201,الضحاكة عرب كالعروبة,الضحَّاكَةِ عُرُبٌ كالعَروبَةِ
202,العربة عربات والعرب,العَرِبَةِ عَرِباتٌ والعَرْبُ
203,النشاط ويحرك وبالكسر,النَّشاطُ ويُحَرَّكُ وبالكسر
204,يبيس البهمى وبالتحريك,يَبِيسُ البُهْمَى وبالتَّحريكِ
205,فساد المعدة والماء,فَسادُ المَعِدَةِ والماءُ
206,الكثير الصافي ويكسر,الكثيرُ الصَّافي ويُكْسَرُ
207,راؤه كالعربب وناحية,راؤُه كالعُرْبُبِ وناحِيةٌ
208,بالمدينة وبقاء أثر,بالمَدينةِ وبَقاءُ أثَرِ
209,الجرح بعد البرء,الجُرْحِ بعدَ البُرْءِ
210,والتعريب تهذيب المنطق,والتَّعْريبُ تَهْذيبُ المَنْطِقِ
211,من اللحن وقطع,من اللَّحْنِ وقَطْعُ
212,سعف النخل وأن,سَعَفِ النَّخْلِ وأنْ
213,على أشاعر الدابة,على أشاعِرِ الدَّابَّةِ
214,ثم تكويها وتقبيح,ثم تَكويهَا وتَقْبيحُ
215,قول القائل والرد,قولِ القائلِ والرَّدُّ
216,عليه والتكلم عن,عليه والتَّكَلُّمُ عن
217,القوم والإكثار من,القَوْمِ والإِكْثارُ من
218,شرب الماء الصافي,شُرْبِ الماءِ الصَّافي
219,واتخاذ قوس عربي,واتِّخاذُ قَوْسٍ عَرَبِيٍّ
220,وتمريض العرب أي,وتَمْريضُ العَرِبِ أي
221,الذرب المعدة وعروبة,الذَّرِبِ المَعِدَةِ وعَروبَةُ
222,وباللام يوم أبي,وباللاَّمِ يومُ أبي
223,العروبة باللام وتركها,العَروبَةِ باللاَّمِ وتَرْكُها
224,لحن أو قليل,لَحْنٌ أو قَليلٌ
225,والعرابات مخففة واحدتها,والعَراباتُ مُخَفَّفَةً واحِدَتُها
226,عرابة شمل ضروع,عَرابَةٌ شُمُلُ ضُروعِ
227,الغنم وعاملها عراب,الغَنَمِ وعامِلُها عَرَّابُ
228,وعرب كفرح نشط,وعَرِبَ كَفَرِحَ نَشِطَ
229,وورم وتقيح الجرح,ووَرِمَ وتَقَيَّحَ الجُرْحُ
230,بقي أثره بعد,بَقِيَ أثَرهُ بعدَ
231,البرء معدته فسدت,البُرْءِ مَعِدَتُهُ فَسَدَتْ
232,النهر غمر فهو,النَّهَرُ غَمَرَ فهو
233,عارب وعاربة البئر,عارِبٌ وعارِبَةٌ البِئْرُ
234,كثر ماؤها فهي,كَثُرَ ماؤُها فهي
235,أكل والعربة محركة,أكَلَ والعَرَبَةُ مُحَرَّكةً
236,النهر الشديد الجري,النَّهَرُ الشديدُ الجَرْيِ
237,والنفس وناحية قرب,والنَّفْسُ وناحِيةٌ قُرْبَ
238,قريش بعربة فنسبت,قُرَيْشٌ بعَرَبَةَ فَنُسِبَتِ
239,العرب إليها وهي,العَرَبُ إليها وهي
240,باحة العرب وباحة,باحَةُ العَرَبِ وباحةُ
241,دار أبي الفصاحة,دارِ أبي الفصاحَةِ
242,إسماعيل عليه السلام,إسماعيلَ عليه السلام
243,واضطر الشاعر إلى,واضْطُرَّ الشاعِرُ إلى
244,تسكين رائها فقالوعربة,تَسْكينِ رائِها فقالوعَرْبَةُ
245,أرض ما يحل,أرضٌ ما يُحِلُّ
246,حرامها من الناس,حَرامَها منَ الناسِ
247,إلا اللوذعي النبي,إلاَّ اللَّوْذَعِيُّ النبيَّ
248,صلى الله عليه,صلَّى الله عليه
249,وسلم والعربات طريق,وسلَّم والعَرَباتُ طريقٌ
250,في جبل بطريق,في جَبَلٍ بطَريقِ
251,مصر وسفن رواكد,مِصْرَ وسُفُنٌ رَواكِدُ
252,كانت في دجلة,كانَتْ في دَجْلَةَ
253,وما بها عريب,وما بِها عَريبٌ
254,ومعرب أحد والعربان,ومُعْرِبٌ أحَدٌ والعُرْبانُ
255,والعربون بضمهما والعربون,والعُرْبونُ بضَمِّهِما والعَرَبونُ
256,محركة وتبدل عينهن,مُحَرَّكَةً وتُبْدَلُ عَيْنُهُنَّ
257,همزة ما عقد,هَمْزَةً ما عُقِدَ
258,به المبايعة من,به المُبايَعَةُ من
259,الثمن وعربان محركة,الثَّمَنِ وعَرَبانُ مُحَرَّكَةً
260,بالخابور وعرابة بن,بالخابورِ وعَرَابَةُ بنُ
261,أوس بن قيظي,أوْسِ بنِ قَيْظِيٍّ
262,كريم مويعرب بن,كَريمٌ مويَعْرُبُ بنُ
263,قحطان أبو اليمن,قَحْطانَ أبو اليَمَنِ
264,قيل أول من,قيلَ أوَّلُ من
265,تكلم بن جابر,تَكلَّمَ بنُ جابِرِ
266,بن عراب كغراب,بنِ عُرابٍ كغُرابٍ
267,بن معاوية بن,بن معاوِيَةَ بنِ
268,عرابي بالضم من,عُرابِيٍّ بالضم من
269,أتباع بالفتح لقب,أتباع بالفتح لَقَبُ
270,محمد بن الحسين,محمدِ بنِ الحُسَينِ
271,بن المبارك وعريب,بنِ المُباركِ وعَريبٌ
272,كغريب رجل حمل,كغَريبٍ رجُلٌ حَمْلُ
273,الخزم لشجر يفتل,الخَزَمِ لشَجَرٍ يُفْتَلُ
274,من لحائه الحبال,من لِحائِه الحِبالُ
275,وألقى عربونه ذا,وألْقى عَرَبونَه ذا
276,بطنه واستعربت البقرة,بَطْنِه واسْتَعْرَبَتِ البَقَرَةُ
277,اشتهت الفحل وعربها,اشْتَهَتِ الفَحْلَ وعَرَّبَها
278,الثور شهاها ولا,الثَّوْرُ شَهَّاها ولا
279,تنقشوا في خواتيمكم,تَنْقُشوا في خواتيمِكُمْ
280,عربيا أي لا,عَرَبيًّا أي لا
281,تنقشوا محمد رسول,تَنْقُشوا محمدٌ رسولُ
282,الله كأنه قال,اللَّهِ كأنَّهُ قال
283,نبيا عربيا يعني,نَبيًّا عَرَبِيًّا يَعْني
284,نفسه صلى الله,نَفْسَه صلَّى الله
285,عليه وسلم وتعرب,عليه وسلَّم وتَعَرَّبَ
286,أقام بالبادية وعروباء,أقامَ بالبادِيَةِ وعَرُوباءُ
287,اسم السماء العربي,اسْمُ السَّماءِ العَرَبِيِّ
288,القاضي أبو بكر,القاضي أبو بكْرٍ
289,عربي محمد بن,عَرَبِيِّ محمدُ بنُ
290,عبد الله الحاتمي,عبدِ اللَّهِ الحاتميُّ
291,الطائي عرب مقاييس,الطائيُّ عرب مقاييس
292,والآخر النشاط وطيب,والآخر النَّشاطُ وطيبُ
293,النفس والثالث فساد,النَّفس والثالث فسادٌ
294,في جسم أو,في جسمٍ أو
295,عضوفالأول قولهم أعرب,عضوفالأوّل قولهم أعرب
296,الرجل عن نفسه,الرّجُل عن نفسه
297,إذا بين وأوضح,إذا بيَّنَ وأوضح
298,وآله وسلم الثيب,وآله وسلم الثَّيِّبُ
299,يعرب عنها لسانها,يُعرِب عنها لسانُها
300,والبكر تستأمر فينفسهاوجاء,والبِكر تُسْتَأْمَر فينفسهاوجاء
301,في الحديث يستحب,في الحديث يستحبُّ
302,حين يعرب الصبي,حين يُعرِب الصبيُّ
303,سبع مرات أي,سبْعَ مرات أي
304,حين يبين عن,حين يُبِين عن
305,إعراب الكلاموإعراب الكلام,إعراب الكلاموإعرابُ الكلام
306,أيضا من هذا,أيضاً من هذا
307,القياس لأن بالإعراب,القياس لأنَّ بالإعراب
308,يفرق بين المعاني,يُفرَق بين المعاني
309,النحو من العلمفأما,النَّحو من العلمفأمّا
310,الأمة التي تسمى,الأمَّة التي تسمَّى
311,العرب فليس ببعيد,العربَ فليس ببعيدٍ
312,أن يكون سميت,أن يكون سمِّيت
313,عربا من هذا,عَرَبا من هذا
314,القياس لأن لسانها,القياس لأنَّ لسانَها
315,أعرب الألسنة وبيانها,أعْرَبُ الألسنة وبيانَها
316,أجود البيانومما يوضح,أجودُ البيانوممّا يوضِّح
317,هذا الحديث الذي,هذا الحديثُ الذي
318,جاء إن العربية,جاء إنَّ العربيَّة
319,ليست بابا واحدا,ليست باباً واحداً
320,لكنها لسان ناطقومما,لكنّها لسانٌ ناطقوممّا
321,أيضا قول العرب,أيضاً قولُ العرب
322,ما بها عريب,ما بها عَرِيبٌ
323,أحد كأنهم يريدون,أحدٌ كأنَّهم يريدون
324,يعرب عن نفسه,يُعرِب عن نفسه
325,قال الخليل العرب,قال الخليل العَرَب
326,الأعرابورجل عربي قال,الأعرابورجلٌ عربيّ قال
327,وأعرب الرجل إذا,وأعرب الرّجُل إذا
328,أفصح القول وهو,أفَصَح القَولَ وهو
329,عرباني اللسان فصيحوأعرب,عَرَبانيُّ اللِّسان فصيحوأعرب
330,الفرس خلصت عربيته,الفرس خَلَصت عربيّتُه
331,وفاتته القرفة والإبل,وفاتَته القِرْفة والإبل
332,العراب هي العربيةوالعرب,العِرابُ هي العربيةوالعرب
333,دخلوا بعد فاستعربوا,دخَلُوا بَعدُ فاستعربوا
334,الآخر المرأة العروب,الآخَر المرأة العَرُوب
335,الضحاكة الطيبة النفس,الضَّحاكة الطيِّبة النفس
336,وهن العرب قال,وهُنَّ العُرُب قال
337,الله تعالى أبكارا,الله تعالى أَبْكاراً
338,عربا أترابا الواقعة,عُرُباً أَتْرَاباً الواقعة
339,قال أهل التفسير,قال أهلُ التَّفسير
340,هن المتحببات إلى,هنَّ المتحبِّبات إلى
341,بسكون الراء النشاط,بسكون الراء النَّشاط
342,قالوالعرب الأثر بفتح,قالوالعَرَب الأَثَر بفتح
343,عرب يعرب عرباوالأصل,عَرِب يَعْرَب عَرَباًوالأصل
344,الثالث قولهم عربت,الثالث قولُهم عَرِبَت
345,معدته إذا فسدت,معدتُه إذا فسدت
346,تعرب عرباويقال من,تَعْرَب عَرَباًويقال من
347,ذلك امرأة عروب,ذلك امرأةٌ عَروبٌ
348,علي بن إبراهيم,عليُّ بن إبراهيمَ
349,القطان قال أنشدنا,القَطّان قال أنشدنا
350,ثعلب عن ابن,ثعلبٌ عن ابن
351,الأعرابي وما خلف,الأعرابيّ وما خَلَفٌ
352,من أم عمران,من أمِّ عِمرانَ
353,سلفعمن السود ورهاء,سَلْفَعٌمن السُّودِ وَرهْاءُ
354,العنان عروب فأما,العِنان عَرُوبُ فأمَّا
355,يوم الجمعة فإنه,يوم الجُمعة فإِنَّه
356,يدعى العروبة وهو,يُدعى العَرُوبة وهو
357,اسم عندنا موضوع,اسمٌ عندنا موضوعٌ
358,إنه كان يسمى,إِنَّه كان يسمَّى
359,في الزمن القديم,في الزَّمن القديمِ
360,الله تعالى وحديث,الله تعالى وحديثُ
361,وسلم لم يجئ,وسلم لم يجئْ
362,إلا بذكر الجمعة,إلاّ بذكر الجُمعة
363,على أنهم قد,على أنَّهم قد
364,أنشدواوأنشدوا أيضا يا,أنشدواوأنشدوا أيضاً يا
365,حسنه عند العزيز,حُسْنَهُ عند العزيز
366,إذا بدايوم العروبة,إذا بدايوم العَرُوبة
367,واستقر المنبر وكل,واستقَرَّ المِنْبرُ وكلُّ
368,لا يعول على,لا يعوَّل على
369,صحته لأي لسان,صحّته لأي لسان
370,العرب اللأى الإبطاء,العرب الَّلأَى الإِبْطاء
371,والاحتباس بوزن اللعا,والاحْتِباس بوزن اللَّعا
372,ليس من لفظها,ليس مِن لفظها
373,كقولك لقيته التقاطا,كقولك لَقِيته التِقاطاً
374,وقتلته صبرا ورأيته,وقَتَلْته صَبْراً ورأَيته
375,عيانا قال زهير,عِياناً قال زهير
376,فلأيا عرفت الدار,فَلأْياً عَرفت الدارَ
377,بعد توهم وقال,بعد توهُّم وقال
378,اللحياني اللأي اللبث,اللحياني الَّلأْيُ اللُّبْثُ
379,وقد لأيت ألأى,وقد لأَيْت أَلأَى
380,لأيا وقال غيره,لأْياً وقال غيره
381,لأأيت في حاجتي,لأأَيْت في حاجتي
382,مشدد هي أبطأت,مشدَّد هي أَبْطَأَت
383,التهذيب يقال لأى,التهذيب يقال لأَى
384,يلأى لأيا والتأى,يَلأَى لأْياً والتَأى
385,يلتئي إذا أبطأوقال,يَلْتَئي إِذا أَبطأَوقال
386,الليث لم أسمع,الليث لم أَسمع
387,ويقولون لأيا عرفت,ويقولون لأْياً عرفْتُ
388,وبعد لأي فعلت,وبَعدَ لأْيٍ فعلت
389,أي بعد جهد,أَي بعد جَهْد
390,ومشقةويقال ما كدت,ومشقةويقال ما كِدْت
391,أحمله إلا لأيا,أَحمله إِلاَّ لأْياً
392,لأي أي بعد,لأْيٍ أَي بعد
393,شدة وإبطاءوفي حديث,شدَّة وإِبْطاءوفي حديث
394,أم أيمن رضي,أُم أَيمن رضي
395,الله عنها فبلأي,الله عنها فبِلأْيٍ
396,ما استغفرلهم رسول,ما استَغْفَرَلهم رسولُ
397,الله أي بعد,الله أَي بعد
398,مشقة وجهد وإبطاء,مشقة وجهدْ وإِبْطاء
399,وهجرتها ابن الزبير,وهِجْرَتِها ابنَ الزُّبَيْرِ
400,فبلأي ما الجهد,فبِلأْيٍ مَّا الجَهْد
401,والشدة والحاجة إلى,والشدَّة والحاجة إِلى
402,السلولي وليس يغير,السلولي وليس يُغَيِّرُ
403,خيم الكريم خلوقة,خِيمَ الكَريم خُلُوقةُ
404,أثوابه واللأى وقال,أَثْوابِه واللأَى وقال
405,فلأيا بلأي ما,فَلأْياً بِلأْيٍ مَّا
406,حملنا غلامنا أي,حَمَلْنا غُلامَنا أَي
407,جهدا بعد جهد,جَهْداً بعد جَهْد
408,قدرنا على حمله,قَدَرْنا على حَمْله
409,واللأي المشقة والجهد,واللأْيُ المشقة والجهد
410,قال أبو منصور,قال أَبو منصور
411,والأصل في اللأي,والأَصل في اللأْي
412,البطء وأنشد أبو,البُطْء وأَنشد أَبو
413,الهيثم لأبي زبيد,الهيثم لأَبي زبيد
414,وثار إعصار هيجا,وثارَ إِعْصارُ هَيْجا
415,بينهم وخلت بالكور,بينَهُمْ وخَلَتْ بالكُورِ
416,لأيا وبالأنساع تمتصع,لأْياً وبالأَنساع تَمْتَصِعُ
417,قال لأيا بعد,قال لأْياً بعد
418,شدة يعني أن,شدَّة يعني أَن
419,الرجل قتله الأسد,الرجل قتله الأَسد
420,تمتصع تحرك ذنبهاواللأى,تمتصع تحرك ذنبهاواللأَى
421,وأنشد بيت العجير,وأَنشد بيت العجير
422,السلولي أيضاوفي الحديث,السلولي أَيضاًوفي الحديث
423,من كان له,مَن كان له
424,ثلاث بنات فصبر,ثلاثُ بنات فصَبَر
425,على لأوائهن كن,على لأْوائهن كُنَّ
426,له حجابا من,له حجاباً من
427,النار اللأواء الشدة,النار اللأْواء الشدة
428,ألست تحزن ألست,أَلَسْتَ تَحْزَنُ أَلَسْتَ
429,تصيبك اللأواء ومنه,تُصِيبُك اللأْواء ومنه
430,الحديث الآخر من,الحديث الآخر مَن
431,صبر على لأوء,صبر على لأْوء
432,المدينة واللأواء المشقة,المَدينة واللأْواء المشَقة
433,والشدة وقيل القحط,والشدة وقيل القَحْط
434,يقال أصابتهم لأواء,يقال أَصابتهم لأْواء
435,وشصاصاء وهي الشدة,وشَصاصاء وهي الشدة
436,قال وتكون اللأواء,قال وتكون اللأْواء
437,العجاج وحالت اللأواء,العجاج وحالَتِ اللأْواء
438,ألأى القوم مثل,أَلأَى القومُ مثل
439,ألعى إذا وقعوا,أَلعى إِذا وقعوا
440,في اللأواء قال,في اللأْواء قال
441,أبو عمرو اللألاء,أَبو عمرو اللأْلاء
442,الفرح التاموالتأى الرجل,الفرح التاموالْتَأَى الرجل
443,أفلس واللأى بوزن,أَفلَسَ واللأَى بوزن
444,اللعا الثور الوحشي,اللَّعا الثَّوْر الوحشيّ
445,لأيان والجمع ألآء,لأَيان والجمع أَلآء
446,مثل ألعاع مثل,مثل أَلْعاعٍ مثل
