no_diacritics,with_diacritics
وإعطاء العربون كالتعريب والتزوج,وإعْطاءُ العَرَبونِ كالتَّعْريبِ والتَّزَوُّجُ
بالعروب للمرأة المتحببة إلى,بالعَروبِ للمَرْأةِ المُتَحَبِّبةِ إلى
زوجها أو العاصية له,زَوْجِها أو العاصِيَةِ لَهُ
أو العاشقة له أو,أو العاشِقَةِ لَهُ أو
المتحببة إليه المظهرة له,المُتَحَبِّبَةِ إليه المُظْهرةِ له
ذلك أو الضحاكة عرب,ذلك أو الضحَّاكَةِ عُرُبٌ
كالعروبة العربة عربات والعرب,كالعَروبَةِ العَرِبَةِ عَرِباتٌ والعَرْبُ
النشاط ويحرك وبالكسر يبيس,النَّشاطُ ويُحَرَّكُ وبالكسر يَبِيسُ
البهمى وبالتحريك فساد المعدة,البُهْمَى وبالتَّحريكِ فَسادُ المَعِدَةِ
والماء الكثير الصافي ويكسر,والماءُ الكثيرُ الصَّافي ويُكْسَرُ
راؤه كالعربب وناحية بالمدينة,راؤُه كالعُرْبُبِ وناحِيةٌ بالمَدينةِ
وبقاء أثر الجرح بعد,وبَقاءُ أثَرِ الجُرْحِ بعدَ
البرء والتعريب تهذيب المنطق,البُرْءِ والتَّعْريبُ تَهْذيبُ المَنْطِقِ
من اللحن وقطع سعف,من اللَّحْنِ وقَطْعُ سَعَفِ
النخل وأن تبزغالقرحة على,النَّخْلِ وأنْ تَبْزُغَالقَرْحَةَ على
أشاعر الدابة ثم تكويها,أشاعِرِ الدَّابَّةِ ثم تَكويهَا
وتقبيح قول القائل والرد,وتَقْبيحُ قولِ القائلِ والرَّدُّ
عليه والتكلم عن القوم,عليه والتَّكَلُّمُ عن القَوْمِ
والإكثار من شرب الماء,والإِكْثارُ من شُرْبِ الماءِ
الصافي واتخاذ قوس عربي,الصَّافي واتِّخاذُ قَوْسٍ عَرَبِيٍّ
وتمريض العرب أي الذرب,وتَمْريضُ العَرِبِ أي الذَّرِبِ
المعدة وعروبة وباللام يوم,المَعِدَةِ وعَروبَةُ وباللاَّمِ يومُ
الجمعةوابن أبي العروبة باللام,الجُمُعَةِوابنُ أبي العَروبَةِ باللاَّمِ
وتركها لحن أو قليل,وتَرْكُها لَحْنٌ أو قَليلٌ
والعرابات مخففة واحدتها عرابة,والعَراباتُ مُخَفَّفَةً واحِدَتُها عَرابَةٌ
شمل ضروع الغنم وعاملها,شُمُلُ ضُروعِ الغَنَمِ وعامِلُها
عراب وعرب كفرح نشط,عَرَّابُ وعَرِبَ كَفَرِحَ نَشِطَ
وورم وتقيح الجرح بقي,ووَرِمَ وتَقَيَّحَ الجُرْحُ بَقِيَ
أثره بعد البرء معدته,أثَرهُ بعدَ البُرْءِ مَعِدَتُهُ
فسدت النهر غمر فهو,فَسَدَتْ النَّهَرُ غَمَرَ فهو
عارب وعاربة البئر كثر,عارِبٌ وعارِبَةٌ البِئْرُ كَثُرَ
ماؤها فهي عربةوكضرب أكل,ماؤُها فهي عَرِبَةٌوكضَرَبَ أكَلَ
والعربة محركة النهر الشديد,والعَرَبَةُ مُحَرَّكةً النَّهَرُ الشديدُ
الجري والنفس وناحية قرب,الجَرْيِ والنَّفْسُ وناحِيةٌ قُرْبَ
المدينةوأقامت قريش بعربة فنسبت,المَدينةِوأقامَتْ قُرَيْشٌ بعَرَبَةَ فَنُسِبَتِ
العرب إليها وهي باحة,العَرَبُ إليها وهي باحَةُ
العرب وباحة دار أبي,العَرَبِ وباحةُ دارِ أبي
الفصاحة إسماعيل عليه السلام,الفصاحَةِ إسماعيلَ عليه السلام
واضطر الشاعر إلى تسكين,واضْطُرَّ الشاعِرُ إلى تَسْكينِ
رائها فقالوعربة أرض ما,رائِها فقالوعَرْبَةُ أرضٌ ما
يحل حرامها من الناس,يُحِلُّ حَرامَها منَ الناسِ
إلا اللوذعي الحلاحليعني النبي,إلاَّ اللَّوْذَعِيُّ الحُلاحِلُيَعني النبيَّ
صلى الله عليه وسلم,صلَّى الله عليه وسلَّم
والعربات طريق في جبل,والعَرَباتُ طريقٌ في جَبَلٍ
بطريق مصر وسفن رواكد,بطَريقِ مِصْرَ وسُفُنٌ رَواكِدُ
كانت في دجلة وما,كانَتْ في دَجْلَةَ وما
بها عريب ومعرب أحد,بِها عَريبٌ ومُعْرِبٌ أحَدٌ
والعربان والعربون بضمهما والعربون,والعُرْبانُ والعُرْبونُ بضَمِّهِما والعَرَبونُ
محركة وتبدل عينهن همزة,مُحَرَّكَةً وتُبْدَلُ عَيْنُهُنَّ هَمْزَةً
ما عقد به المبايعة,ما عُقِدَ به المُبايَعَةُ
من الثمن وعربان محركة,من الثَّمَنِ وعَرَبانُ مُحَرَّكَةً
بالخابور وعرابة بن أوس,بالخابورِ وعَرَابَةُ بنُ أوْسِ
بن قيظي كريم مويعرب,بنِ قَيْظِيٍّ كَريمٌ مويَعْرُبُ
بن قحطان أبو اليمن,بنُ قَحْطانَ أبو اليَمَنِ
قيل أول من تكلم,قيلَ أوَّلُ من تَكلَّمَ
بالعربيةوبشير بن جابر بن,بالعَرَبيَّةِوبَشيرُ بنُ جابِرِ بنِ
عراب كغراب صحابيوعرابي بن,عُرابٍ كغُرابٍ صَحابيُّوعُرابيُّ بن
معاوية بن عرابي بالضم,معاوِيَةَ بنِ عُرابِيٍّ بالضم
من أتباع التابعينوعرابي بالفتح,من أتباع التَّابِعينَوعَرابِيُّ بالفتح
لقب محمد بن الحسين,لَقَبُ محمدِ بنِ الحُسَينِ
بن المبارك وعريب كغريب,بنِ المُباركِ وعَريبٌ كغَريبٍ
رجل وفرسوكسحاب حمل الخزم,رجُلٌ وفَرَسٌوكسَحابٍ حَمْلُ الخَزَمِ
لشجر يفتل من لحائه,لشَجَرٍ يُفْتَلُ من لِحائِه
الحبال وألقى عربونه ذا,الحِبالُ وألْقى عَرَبونَه ذا
بطنه واستعربت البقرة اشتهت,بَطْنِه واسْتَعْرَبَتِ البَقَرَةُ اشْتَهَتِ
الفحل وعربها الثور شهاها,الفَحْلَ وعَرَّبَها الثَّوْرُ شَهَّاها
ولا تنقشوا في خواتيمكم,ولا تَنْقُشوا في خواتيمِكُمْ
عربيا أي لا تنقشوا,عَرَبيًّا أي لا تَنْقُشوا
محمد رسول الله كأنه,محمدٌ رسولُ اللَّهِ كأنَّهُ
قال نبيا عربيا يعني,قال نَبيًّا عَرَبِيًّا يَعْني
نفسه صلى الله عليه,نَفْسَه صلَّى الله عليه
وسلم وتعرب أقام بالبادية,وسلَّم وتَعَرَّبَ أقامَ بالبادِيَةِ
وعروباء اسم السماء السابعةوابن,وعَرُوباءُ اسْمُ السَّماءِ السابِعَةِوابنُ
العربي القاضي أبو بكر,العَرَبِيِّ القاضي أبو بكْرٍ
المالكيوابن عربي محمد بن,المالِكيُّوابنُ عَرَبِيِّ محمدُ بنُ
عبد الله الحاتمي الطائي,عبدِ اللَّهِ الحاتميُّ الطائيُّ
النشاط وطيب النفس والثالث,النَّشاطُ وطيبُ النَّفس والثالث
فساد في جسم أو,فسادٌ في جسمٍ أو
عضوفالأول قولهم أعرب الرجل,عضوفالأوّل قولهم أعرب الرّجُل
عن نفسه إذا بين,عن نفسه إذا بيَّنَ
وسلم الثيب يعرب عنها,وسلم الثَّيِّبُ يُعرِب عنها
لسانها والبكر تستأمر فينفسهاوجاء,لسانُها والبِكر تُسْتَأْمَر فينفسهاوجاء
في الحديث يستحب حين,في الحديث يستحبُّ حين
يعرب الصبي أن يقول,يُعرِب الصبيُّ أن يقول
سبع مرات أي حين,سبْعَ مرات أي حين
يبين عن نفسهوليس هذا,يُبِين عن نفسهوليس هذا
من إعراب الكلاموإعراب الكلام,من إعراب الكلاموإعرابُ الكلام
أيضا من هذا القياس,أيضاً من هذا القياس
لأن بالإعراب يفرق بين,لأنَّ بالإعراب يُفرَق بين
أبواب هذا النحو من,أبواب هذا النَّحو من
العلمفأما الأمة التي تسمى,العلمفأمّا الأمَّة التي تسمَّى
العرب فليس ببعيد أن,العربَ فليس ببعيدٍ أن
يكون سميت عربا من,يكون سمِّيت عَرَبا من
هذا القياس لأن لسانها,هذا القياس لأنَّ لسانَها
أعرب الألسنة وبيانها أجود,أعْرَبُ الألسنة وبيانَها أجودُ
البيانومما يوضح هذا الحديث,البيانوممّا يوضِّح هذا الحديثُ
الذي جاء إن العربية,الذي جاء إنَّ العربيَّة
ليست بابا واحدا لكنها,ليست باباً واحداً لكنّها
لسان ناطقومما يدل على,لسانٌ ناطقوممّا يدل على
هذا أيضا قول العرب,هذا أيضاً قولُ العرب
ما بها عريب أي,ما بها عَرِيبٌ أي
ما بها أحد كأنهم,ما بها أحدٌ كأنَّهم
يعرب عن نفسه قال,يُعرِب عن نفسه قال
الخليل العرب العاربة هم,الخليل العَرَب العاربة هم
الصريحوالأعاريب جماعة الأعرابورجل عربي,الصَّريحوالأعاريب جماعة الأعرابورجلٌ عربيّ
قال وأعرب الرجل إذا,قال وأعرب الرّجُل إذا
أفصح القول وهو عرباني,أفَصَح القَولَ وهو عَرَبانيُّ
اللسان فصيحوأعرب الفرس خلصت,اللِّسان فصيحوأعرب الفرس خَلَصت
عربيته وفاتته القرفة والإبل,عربيّتُه وفاتَته القِرْفة والإبل
العراب هي العربيةوالعرب المستعربة,العِرابُ هي العربيةوالعرب المستعربة
هم الذين دخلوا بعد,هم الذين دخَلُوا بَعدُ
فاستعربوا وتعربواوالأصل الآخر المرأة,فاستعربوا وتعرَّبواوالأصل الآخَر المرأة
العروب الضحاكة الطيبة النفس,العَرُوب الضَّحاكة الطيِّبة النفس
وهن العرب قال الله,وهُنَّ العُرُب قال الله
تعالى فجعلناهن أبكارا عربا,تعالى فَجَعَلْنَاهُنَّ أَبْكاراً عُرُباً
أترابا الواقعة قال أهل,أَتْرَاباً الواقعة قال أهلُ
التفسير هن المتحببات إلى,التَّفسير هنَّ المتحبِّبات إلى
أزواجهنوالعرب بسكون الراء النشاط,أزواجهنّوالعَرْب بسكون الراء النَّشاط
قالوالعرب الأثر بفتح الراء,قالوالعَرَب الأَثَر بفتح الراء
يقال منه عرب يعرب,يقال منه عَرِب يَعْرَب
عرباوالأصل الثالث قولهم عربت,عَرَباًوالأصل الثالث قولُهم عَرِبَت
معدته إذا فسدت تعرب,معدتُه إذا فسدت تَعْرَب
عرباويقال من ذلك امرأة,عَرَباًويقال من ذلك امرأةٌ
عروب أي فاسدة أنشدنا,عَروبٌ أي فاسدة أنشدنا
علي بن إبراهيم القطان,عليُّ بن إبراهيمَ القَطّان
قال أنشدنا ثعلب عن,قال أنشدنا ثعلبٌ عن
ابن الأعرابي وما خلف,ابن الأعرابيّ وما خَلَفٌ
من أم عمران سلفعمن,من أمِّ عِمرانَ سَلْفَعٌمن
السود ورهاء العنان عروب,السُّودِ وَرهْاءُ العِنان عَرُوبُ
فأما يوم الجمعة فإنه,فأمَّا يوم الجُمعة فإِنَّه
يدعى العروبة وهو اسم,يُدعى العَرُوبة وهو اسمٌ
عندنا موضوع على غير,عندنا موضوعٌ على غير
إنه كان يسمى في,إِنَّه كان يسمَّى في
الزمن القديم العروبةوكتاب الله,الزَّمن القديمِ العَرُوبةوكتابُ الله
تعالى وحديث رسول الله,تعالى وحديثُ رسول الله
وسلم لم يجئ إلا,وسلم لم يجئْ إلاّ
بذكر الجمعة على أنهم,بذكر الجُمعة على أنَّهم
قد أنشدواوأنشدوا أيضا يا,قد أنشدواوأنشدوا أيضاً يا
حسنه عند العزيز إذا,حُسْنَهُ عند العزيز إذا
بدايوم العروبة واستقر المنبر,بدايوم العَرُوبة واستقَرَّ المِنْبرُ
وكل هذا عندنا مما,وكلُّ هذا عندنا مما
لا يعول على صحته,لا يعوَّل على صحّته
لأي لسان العرب اللأى,لأي لسان العرب الَّلأَى
الإبطاء والاحتباس بوزن اللعا,الإِبْطاء والاحْتِباس بوزن اللَّعا
فيها ما ليس من,فيها ما ليس مِن
لفظها كقولك لقيته التقاطا,لفظها كقولك لَقِيته التِقاطاً
وقتلته صبرا ورأيته عيانا,وقَتَلْته صَبْراً ورأَيته عِياناً
قال زهير فلأيا عرفت,قال زهير فَلأْياً عَرفت
الدار بعد توهم وقال,الدارَ بعد توهُّم وقال
اللحياني اللأي اللبث وقد,اللحياني الَّلأْيُ اللُّبْثُ وقد
لأيت ألأى لأيا وقال,لأَيْت أَلأَى لأْياً وقال
غيره لأأيت في حاجتي,غيره لأأَيْت في حاجتي
مشدد أبطأتوالتأت هي أبطأت,مشدَّد أَبطأْتوالتَأَتْ هي أَبْطَأَت
التهذيب يقال لأى يلأى,التهذيب يقال لأَى يَلأَى
لأيا والتأى يلتئي إذا,لأْياً والتَأى يَلْتَئي إِذا
أبطأوقال الليث لم أسمع,أَبطأَوقال الليث لم أَسمع
لأيا عرفت وبعد لأي,لأْياً عرفْتُ وبَعدَ لأْيٍ
فعلت أي بعد جهد,فعلت أَي بعد جَهْد
ومشقةويقال ما كدت أحمله,ومشقةويقال ما كِدْت أَحمله
إلا لأيا وفعلت كذا,إِلاَّ لأْياً وفعلت كذا
بعد لأي أي بعد,بعد لأْيٍ أَي بعد
شدة وإبطاءوفي حديث أم,شدَّة وإِبْطاءوفي حديث أُم
أيمن رضي الله عنها,أَيمن رضي الله عنها
فبلأي ما استغفرلهم رسول,فبِلأْيٍ ما استَغْفَرَلهم رسولُ
الله أي بعد مشقة,الله أَي بعد مشقة
وجهد وإبطاء ومنه حديث,وجهدْ وإِبْطاء ومنه حديث
وهجرتها ابن الزبير فبلأي,وهِجْرَتِها ابنَ الزُّبَيْرِ فبِلأْيٍ
ما كلمتهواللأى الجهد والشدة,مَّا كَلَّمَتْهُواللأَى الجَهْد والشدَّة
والحاجة إلى الناس قال,والحاجة إِلى الناس قال
العجير السلولي وليس يغير,العجير السلولي وليس يُغَيِّرُ
خيم الكريم خلوقة أثوابه,خِيمَ الكَريم خُلُوقةُ أَثْوابِه
واللأى وقال القتيبي في,واللأَى وقال القتيبي في
قوله فلأيا بلأي ما,قوله فَلأْياً بِلأْيٍ مَّا
حملنا غلامنا أي جهدا,حَمَلْنا غُلامَنا أَي جَهْداً
بعد جهد قدرنا على,بعد جَهْد قَدَرْنا على
حمله على الفرس قال,حَمْله على الفرس قال
واللأي المشقة والجهد قال,واللأْيُ المشقة والجهد قال
أبو منصور والأصل في,أَبو منصور والأَصل في
اللأي البطء وأنشد أبو,اللأْي البُطْء وأَنشد أَبو
الهيثم لأبي زبيد وثار,الهيثم لأَبي زبيد وثارَ
إعصار هيجا بينهم وخلت,إِعْصارُ هَيْجا بينَهُمْ وخَلَتْ
بالكور لأيا وبالأنساع تمتصع,بالكُورِ لأْياً وبالأَنساع تَمْتَصِعُ
قال لأيا بعد شدة,قال لأْياً بعد شدَّة
يعني أن الرجل قتله,يعني أَن الرجل قتله
الأسد وخلت ناقته بالكور,الأَسد وخلت ناقته بالكور
تمتصع تحرك ذنبهاواللأى الشدة,تمتصع تحرك ذنبهاواللأَى الشدة
في العيش وأنشد بيت,في العيش وأَنشد بيت
العجير السلولي أيضاوفي الحديث,العجير السلولي أَيضاًوفي الحديث
من كان له ثلاث,مَن كان له ثلاثُ
بنات فصبر على لأوائهن,بنات فصَبَر على لأْوائهن
كن له حجابا من,كُنَّ له حجاباً من
النار اللأواء الشدة وضيق,النار اللأْواء الشدة وضيق
له ألست تحزن ألست,له أَلَسْتَ تَحْزَنُ أَلَسْتَ
تصيبك اللأواء ومنه الحديث,تُصِيبُك اللأْواء ومنه الحديث
الآخر من صبر على,الآخر مَن صبر على
لأوء المدينة واللأواء المشقة,لأْوء المَدينة واللأْواء المشَقة
والشدة وقيل القحط يقال,والشدة وقيل القَحْط يقال
أصابتهم لأواء وشصاصاء وهي,أَصابتهم لأْواء وشَصاصاء وهي
الشدة قال وتكون اللأواء,الشدة قال وتكون اللأْواء
وحالت اللأواء دون نسعي,وحالَتِ اللأْواء دون نسعي
